연도,응답자ID,연령대,지역,스마트폰보유,스마트폰월사용시간,인터넷이용,AI관심도,AI사용능력
2021,3001,60-69,서울,예,255,아니오,낮음,불가
2022,3002,60-69,경기,예,221,예,중간,보통
2023,3003,60-69,지방,예,225,아니오,중간,불가
2021,3004,60-69,서울,예,52,예,중간,가능
2022,3005,60-69,경기,예,279,예,낮음,보통
2023,3006,60-69,지방,예,80,예,높음,불가
2021,3007,60-69,서울,아니오,201,아니오,낮음,불가
2022,3008,60-69,경기,예,157,예,낮음,가능
2023,3009,60-69,지방,아니오,119,아니오,높음,보통
2021,3010,60-69,서울,아니오,58,아니오,높음,불가
2022,3011,60-69,경기,예,214,예,높음,가능
2023,3012,60-69,지방,아니오,127,예,중간,불가
2021,3013,60-69,서울,아니오,223,예,높음,보통
2022,3014,60-69,경기,아니오,208,아니오,낮음,불가
2023,3015,60-69,지방,아니오,114,예,높음,불가
2021,3016,60-69,서울,아니오,208,아니오,낮음,불가
2022,3017,60-69,경기,아니오,13,아니오,중간,불가
2023,3018,60-69,지방,예,8,예,낮음,가능
2021,3019,60-69,서울,아니오,39,예,낮음,가능
2022,3020,60-69,경기,아니오,236,아니오,높음,보통
2023,3021,70-79,지방,아니오,280,아니오,높음,가능
2021,3022,70-79,서울,예,200,아니오,낮음,가능
2022,3023,70-79,경기,아니오,245,예,높음,보통
2023,3024,70-79,지방,예,277,아니오,중간,가능
2021,3025,70-79,서울,아니오,234,예,중간,가능
2022,3026,70-79,경기,예,3,아니오,높음,보통
2023,3027,70-79,지방,예,153,아니오,중간,보통
2021,3028,70-79,서울,아니오,28,예,높음,보통
2022,3029,70-79,경기,아니오,108,아니오,낮음,불가
2023,3030,70-79,지방,예,97,예,낮음,불가
2021,3031,70-79,서울,아니오,214,예,중간,보통
2022,3032,70-79,경기,예,292,아니오,높음,보통
2023,3033,70-79,지방,예,74,예,높음,보통
2021,3034,70-79,서울,예,145,예,중간,불가
2022,3035,70-79,경기,예,127,아니오,낮음,불가
2023,3036,70-79,지방,예,41,예,중간,가능
2021,3037,70-79,서울,아니오,40,예,낮음,가능
2022,3038,70-79,경기,예,33,예,높음,보통
2023,3039,70-79,지방,예,16,아니오,낮음,불가
2021,3040,70-79,서울,아니오,164,예,중간,불가
2022,3041,80+,경기,예,152,아니오,높음,불가
2023,3042,80+,지방,아니오,75,아니오,중간,보통
2021,3043,80+,서울,아니오,86,예,중간,가능
2022,3044,80+,경기,아니오,116,예,낮음,보통
2023,3045,80+,지방,예,26,예,중간,가능
2021,3046,80+,서울,예,286,아니오,낮음,가능
2022,3047,80+,경기,예,133,예,높음,보통
2023,3048,80+,지방,아니오,218,예,낮음,가능
2021,3049,80+,서울,예,167,예,높음,가능
2022,3050,80+,경기,아니오,97,예,낮음,불가
2023,3051,80+,지방,예,267,예,중간,가능
2021,3052,80+,서울,아니오,236,아니오,낮음,보통
2022,3053,80+,경기,예,172,아니오,낮음,보통
2023,3054,80+,지방,예,189,예,높음,가능
2021,3055,80+,서울,예,121,예,중간,불가
2022,3056,80+,경기,아니오,45,예,낮음,불가
2023,3057,80+,지방,아니오,63,예,중간,가능
2021,3058,80+,서울,예,129,아니오,낮음,가능
2022,3059,80+,경기,예,192,예,낮음,보통
2023,3060,80+,지방,아니오,180,아니오,중간,가능
